ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
406,Magnetips: Combining Fingertip Tracking and Haptic Feedback for Around-Device Interaction, Jess McIntosh, Paul Strohmeier (University of Copenhagen), Jarrod Knibbe (Monash University), Sebastian Boring, Kasper Hornbæk (University of Copenhagen),,,,,,,,,
407,Measuring the Influences of Musical Parameters on Cognitive and Behavioral Responses to Audio Notifications Using EEG and Large-scale Online Studies, Fu-Yin Cherng, Yi-Chen Lee, Jung-Tai King, Wen-Chieh Lin (National Chiao Tung University),,,,,,,,,,
408,Design Considerations for Interactive Office Lighting: Interface Characteristics Shared and Hybrid Control, Thomas van de Werff (Eindhoven University of Technology), Charlotte van Lotringen (Eindhoven University of Technology), Harm van Essen, Berry Eggen (Eindhoven University of Technology),,,,,,,,,,
409,Will You Accept an Imperfect AI? Exploring Designs for Adjusting End-user Expectations of AI Systems, Rafal Kocielnik (University of Washington), Saleema Amershi, Paul N. Bennett (Microsoft Research),,,,,,,,,,,
410,Voice-Based Quizzes for Measuring Knowledge Retention in Under-Connected Populations, Agha Ali Raza, Zain Tariq, Shan Randhawa, Bilal Saleem (Information Technology University), Awais Athar (European Bioinformatics Institute), Umar Saif (Information Technology University), Roni Rosenfeld (Carnegie Mellon University),,,,,,,
411,ORC Layout: Adaptive GUI Layout with OR-Constraints, Yue Jiang (University of Maryland College Park), Ruofei Du (University of Maryland College Park & Google), Christof Lutteroth (University of Bath), Wolfgang Stuerzlinger (Simon Fraser University),,,,,,,,,,
412,Exploring Interaction Fidelity in Virtual Reality: Object Manipulation and Whole-Body Movements, Katja Rogers, Jana Funke, Julian Frommel, Sven Stamm, Michael Weber (Ulm University),,,,,,,,,
413,Can Children Understand Machine Learning Concepts? The Effect of Uncovering Black Boxes, Tom Hitron, Yoav Orlev, Iddo Wald, Ariel Shamir, Hadas Erel, Oren Zuckerman (Interdisciplinary Center),,,,,,,,
414,Evaluation of Appearance-Based Methods and Implications for Gaze-Based Applications, Xucong Zhang (Saarland University), Yusuke Sugano (Osaka University), Andreas Bulling (University of Stuttgart),,,,,,,,,,,
415,"Explicating ""Implicit Interaction"": An Examination of the Concept and Challenges for Research", Barış Serim (University of Helsinki & Aalto University), Giulio Jacucci (University of Helsinki),,,,,,,,,,,,
416,Charting Subtle Interaction in the HCI Literature, Henning Pohl, Andreea Muresan, Kasper Hornbæk (University of Copenhagen),,,,,,,,,,,
417,Monotasking or Multitasking: Designing for Crowdworkers' Preferences, Laura Lascau (University College London), Sandy J. J. Gould (University of Birmingham), Anna L. Cox, Elizaveta Karmannaya, Duncan P. Brumby (University College London),,,,,,,,,
418,On the Latency of USB-Connected Input Devices, Raphael Wimmer, Andreas Schmid, Florian Bockes (University of Regensburg),,,,,,,,,,,
419,Analyzing the Use of Camera Glasses in the Wild, Taryn Bipat (University of Washington), Maarten Willem Bos, Rajan Vaish, Andres Monroy-Hernandez (Snap Inc.),,,,,,,,,,
420,"HawkEye â€"" Deploying a Design Fiction Probe", Renee Noortman (Eindhoven University of Technology), Britta F. Schulte (University College London), Paul Marshall (University of Bristol), Saskia Bakker (Eindhoven University of Technology), Anna L. Cox (University College London),,,,,,,,,
421,Exploring Media Capture of Meaningful Experiences to Support Families Living with Dementia, James Hodge, Kyle Montague (Newcastle University), Sandra Hastings (Silverline Memories), Kellie Morrissey (Open Lab),,,,,,,,,,
422,Understanding the Impact of TVIs on Technology Use and Selection by Children with Visual Impairments, Catherine M. Baker (Creighton University), Lauren R. Milne (Macalester University), Richard E. Ladner (University of Washington),,,,,,,,,,,
423,Student Perspectives on Digital Phenotyping: The Acceptability of Using Smartphone Data to Assess Mental Health, John Rooksby (Northumbria University), Alistair Morrison (University of Glasgow), Dave Murray-Rust (University of Edinburgh),,,,,,,,,,,
424,A-line: 4D Printing Morphing Linear Composite Structures, Guanyun Wang (Carnegie Mellon University), Ye Tao (Zhejiang University & Carnegie Mellon University), Ozguc Bertug Capunaman, Humphrey Yang, Lining Yao (Carnegie Mellon University),,,,,,,,,
425,Detecting Visuo-Haptic Mismatches in Virtual Reality using the Prediction Error Negativity of Event-Related Brain Potentials, Lukas Gehrke, Sezen Akman (Technical University of Berlin), Pedro Lopes (University of Chicago), Albert Chen (University of Chicago), Avinash Kumar Singh (National Chiao Tung University), Hsiang-Ting Chen, Chin-Teng Lin (University of Technology Sydney), Klaus Gramann (University of California San Diego),,,,,,
426,A Field Study of Teachers Using a Curriculum-integrated Digital Game, Zhongxiu Peddycord-Liu, Veronica Catete, Jessica Vandenberg, Tiffany Barnes, Collin F. Lynch, Teomara Rutherford (North Carolina State University),,,,,,,,
427,Feeling Fireworks: An Inclusive Tactile Firework Display, Dorothea Reusser (Disney Research & ETH Zurich), Espen Knoop (Disney Research), Roland Siegwart (ETH Zurich), Paul Beardsley (Disney Research),,,,,,,,,,
428,Social Play in an Exergame: How the Need to Belong Predicts Adherence, Maximus D. Kaos (Queen's University & Aalto University), Ryan E. Rhodes (University of Victoria), Perttu Hamalainen (Aalto University), T.C. Nicholas Graham (Queen's University),,,,,,,,,,
429,Around the (Virtual) World: Infinite Walking in Virtual Reality Using Electrical Muscle Stimulation, Jonas Auda, Max Pascher, Stefan Schneegass (Universitat Duisburg-Essen),,,,,,,,,,,
430,How Do Distance Learners Connect?: Shared Identity Focused Work and Future Possibilities, Na Sun, Xiying Wang, Mary Beth Rosson (Pennsylvania State University),,,,,,,,,,,
431,Security Managers Are Not The Enemy Either, Lena Reinfelder (Friedrich-Alexander-Universitat Erlangen-Nurnberg), Robert Landwirth (Technical University Darmstadt & Fraunhofer SIT), Zinaida Benenson (Friedrich-Alexander-Universitat Erlangen-Nurnberg),,,,,,,,,,,
432,Older Voices: Supporting Community Radio Production for Civic Participation in Later Life, Arlind Reuter (Newcastle University), Tom Bartindale (Monash University), Kellie Morrissey, Thomas Scharf, Jennifer Liddle (Newcastle University),,,,,,,,,
433,Reveal: Investigating Proactive Location-Based Reminiscing with Personal Digital Photo Repositories, David McGookin (Aalto University),,,,,,,,,,,,,
434,What is Fair Shipping Anyway?: Using Design Fiction to Raise Ethical Awareness in an Industrial Context, Yiying Wu (Aalto University), Sus Lyckvi (Chalmers University of Technology), Virpi Roto (Aalto University),,,,,,,,,,,
435,Our Story: Addressing Challenges in Development Contexts for Sustainable Participatory Video, Tom Bartindale (Monash University), Delvin Varghese (Newcastle University), Guy Schofield (University of York), Miki Tsukamoto (International Federation of Red Cross & Red Crescent Societies),,,,,,,,,,
436,Integrating Multimedia Tools to Enrich Interactions in Live Streaming for Language Learning, Di (Laura) Chen (University of Toronto), Dustin Freeman (Escape Character Inc.), Ravin Balakrishnan (University of Toronto),,,,,,,,,,,
437,Spaces and Traces: Implications of Smart Technology in Public Housing, Sandjar Kozubaev, Fernando Rochaix, Carl DiSalvo, Christopher A. Le Dantec (Georgia Institute of Technology),,,,,,,,,,
438,Mazi: Tangible Technologies as a Channel for Collaborative Play, Antonella Nonnis, Nick Bryan-Kinns (Queen Mary University of London),,,,,,,,,,,,
439,Making Diabetes Education Interactive: Tangible Educational Toys for Children with Type-1 Diabetes, Charalampos Kyfonidis, Marilyn Lennon (University of Strathclyde),,,,,,,,,,,,
440,Ten-Minute Silence: A New Notification UX of Mobile Instant Messenger, In-geon Shin, Jin-min Seok, Youn-kyung Lim (Korea Advanced Institute of Science and Technology),,,,,,,,,,,
441,Quantitative Measurement of Tool Embodiment for Virtual Reality Input Alternatives, Ayman Alzayat, Mark Hancock (University of Waterloo), Miguel A. Nacenta (University of St Andrews),,,,,,,,,,,
442,DMove: Directional Motion-based Interaction for Augmented Reality Head-Mounted Displays, Wenge Xu, Hai-Ning Liang, Yuxuan Zhao, Difeng Yu, Diego Monteiro, (Xi'an Jiaotong-Liverpool University),,,,,,,,
443,Trigger-Action Programming for Personalising Humanoid Robot Behaviour, Nicola Leonardi, Marco Manca, Fabio Paternò, Carmen Santoro (CNR-ISTI),,,,,,,,,,
444,Augmented Reality Views for Occluded Interaction, Klemen Lilija, Henning Pohl, Sebastian Boring, Kasper Hornbæk (University of Copenhagen),,,,,,,,,,
445,A is for Artificial Intelligence: The Impact of Artificial Intelligence Activities on Young Children's Perceptions of Robots, Randi Williams, Hae Won Park, Cynthia Breazeal (Massachusetts Institute of Technology),,,,,,,,,,,
446,i'sFree: Eyes-Free Gesture Typing via a Touch-Enabled Remote Control, Suwen Zhu (Stony Brook University), Jingjie Zheng, Shumin Zhai (Google), Xiaojun Bi (Stony Brook University),,,,,,,,,,
447,Beyond Tutoring: Opportunities for Intergenerational Mentorship at a Community Level, Ye Yuan, Svetlana Yarosh (University of Minnesota),,,,,,,,,,,,
448,Beyond Dyadic Interactions: Considering Chatbots as Community Members, Joseph Seering, Michal Luria, Geoff Kaufman, Jessica Hammer (Carnegie Mellon University),,,,,,,,,,
449,Face and Ecological Validity in Simulations: Lessons from Search-and-Rescue HRI, Lorin Dole, Wendy Ju (Cornell Tech),,,,,,,,,,,,
450,PaCaPa: A Handheld VR Device for Rendering Size Shape and Stiffness of Virtual Objects in Tool-based Interactions, Yuqian Sun (The University of Tokyo), Shigeo Yoshida, Takuji Narumi (The University of Tokyo), Michitaka Hirose (The University of Tokyo),,,,,,,,,,
451,Search as News Curator: The Role of Google in Shaping Attention to News Information, Daniel Trielli, Nicholas Diakopoulos (Northwestern University),,,,,,,,,,,,
452,./trilaterate: A Fabrication Pipeline to Design and 3D Print Hover- Touch- and Force-Sensitive Objects, Martin Schmitz, Martin Stitz, Florian Muller, Markus Funk, Max Muhlhauser (Technische Universitat Darmstadt),,,,,,,,,
453,Designing for Reproducibility: A Qualitative Study of Challenges and Opportunities in High Energy Physics, Sebastian S. Feger (Ludwig Maximilian University of Munich & CERN), Sunje Dallmeier-Tiessen (CERN), Albrecht Schmidt (Ludwig Maximilian University of Munich), Paweł W. Woźniak (Utrecht University),,,,,,,,,,
454,Color Builder: A Direct Manipulation Interface for Versatile Color Theme Authoring, Maria Shugrina, Wenjia Zhang, Fanny Chevalier, Sanja Fidler, Karan Singh (University of Toronto),,,,,,,,,
455,A Review & Analysis of Mindfulness Research in HCI: Framing Current Lines of Research and Future Opportunities, Nađa Terzimehic, Renate Hauslschmid, Heinrich Hussmann, (Ludwig Maximilian University of Munich), m.c. schraefel (University of Southampton),,,,,,,,,
456,Making Healthcare Infrastructure Work: Unpacking the Infrastructuring Work of Individuals, Xinning Gui, Yunan Chen (University of California Irvine),,,,,,,,,,,,
457,Like Popcorn: Crossmodal Correspondences Between Scents 3D Shapes and Emotions in Children, Oussama Metatla (University of Bristol), Emanuela Maggioni (University of Sussex), Clare Cullen (University of Bristol), Marianna Obrist (University of Sussex),,,,,,,,,,
458,Gamification in Science: A Study of Requirements in the Context of Reproducible Research, Sebastian S. Feger (Ludwig Maximilian University of Munich & CERN), Sunje Dallmeier-Tiessen (CERN), Paweł W. Woźniak (Utrecht University), Albrecht Schmidt (Ludwig Maximilian University of Munich),,,,,,,,,,
459,Understanding the Shared Experience of Runners and Spectators in Long-Distance Running Events, Tao Bi, Nadia Bianchi-Berthouze, Aneesha Singh, Enrico Costanza (University College London),,,,,,,,,,
460,Local Standards for Anonymization Practices in Health Wellness Accessibility and Aging Research at CHI, Jacob Abbott, Haley MacLeod, Novia Nurain, Gustave Ekobe, Sameer Patil (Indiana University),,,,,,,,,
461,Dynamic Difficulty Adjustment Impact on Players' Confidence, Thomas Constant, Guillaume Levieux (Conservatoire National des Arts et Metiers),,,,,,,,,,,,
462,Continuous Alertness Assessments: Using EOG Glasses to Unobtrusively Monitor Fatigue Levels In-The-Wild, Benjamin Tag (Keio University), Andrew W. Vargo (The Kyoto College of Graduate Studies for Informatics), Aman Gupta, George Chernyshov, Kai Kunze (Keio University), Tilman Dingler (University of Melbourne),,,,,,,,
463,Everyone Brings Their Grain of Salt: Designing for Low-Literate Parental Engagement with a Mobile Literacy Technology in Cote d'Ivoire, Michael A. Madaio (Carnegie Mellon University), Fabrice Tanoh (Universite Felix Houphouet-Boigny), Axel Blahoua Seri (Institut de la Dignite et des Droits Humains), Kaja Jasinska (University of Delaware), Amy Ogan (Carnegie Mellon University),,,,,,,,,
464,Streaming Multi-Screens and YouTube: The New (Unsustainable) Ways of Watching in the Home, Kelly Widdicks, Mike Hazas, Oliver Bates, Adrian Friday (Lancaster University),,,,,,,,,,
465,Overcoming Distractions during Transitions from Break to Work using a Conversational Website-Blocking System, Vincent W.-S. Tseng (Cornell University), Matthew L. Lee, Laurent Denoue, Daniel Avrahami (FX Palo Alto Laboratory),,,,,,,,,,
466,Techies Against Facebook: Understanding Negative Sentiment Toward Facebook via User Generated Content, Abu Saleh Md Noman, Sanchari Das, Sameer Patil (Indiana University),,,,,,,,,,,
467,Making Well-being: Exploring the Role of Makerspaces in Long Term Care Facilities, Kayla Carucci, Kentaro Toyama (University of Michigan),,,,,,,,,,,,
468,Supporting Communication About Values Between People with Multiple Chronic Conditions and their Providers, Andrew B. L. Berry (University of Washington), Catherine Y. Lim (Kaiser Permanente Washington Health Research Institute), Tad Hirsch (Northeastern University), Andrea L. Hartzler (University of Washington), Linda M. Kiel, Zoe A. Bermet, James D. Ralston (Kaiser Permanente Washington Health Research Institute),,,,,,,
469,SmartEye: Assisting Instant Photo Taking via Integrating User Preference with Deep View Proposal Network, Shuai Ma (University of Chinese Academy of Sciences), Zijun Wei (Stony Brook University), Feng Tian, Xiangmin Fan (University of Chinese Academy of, Sciences), Jianming Zhang (Adobe Research), Xiaohui Shen (ByteDance AI Lab), Zhe Lin (Adobe Research), Jin Huang (University of Chinese Academy of Sciences), Radomir Měch (Adobe Research), Dimitris Samaras (Stony Brook University), Hongan Wang (University of Chinese Academy of Sciences),,
470,People Who Can Take It: How Women Wikipedians Negotiate and Navigate Safety, Amanda Menking (University of Washington), Ingrid Erickson (Syracuse University), Wanda Pratt (University of Washington),,,,,,,,,,,
471,SuperVision: Playing with Gaze Aversion and Peripheral Vision, Argenis Ramirez Gomez, Hans Gellersen (Lancaster University),,,,,,,,,,,,
472,Psychologically Inclusive Design: Cues Impact Women's Participation in STEM Education, Rene F. Kizilcec (Cornell University), Andrew J. Saltarelli (Stanford University),,,,,,,,,,,,
473,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents, Leigh Clark (University College Dublin), Nadia Pantidi (University College Cork), Orla Cooney (University College Dublin), Philip Doyle (Voysis), Diego Garaialde, Justin Edwards (University College Dublin), Brendan Spillane, Emer Gilmartin (Trinity College Dublin), Christine Murad (University of Toronto), Cosmin Munteanu (University of Toronto), Vincent Wade (Trinity College Dublin), Benjamin R. Cowan (University College Dublin),,
474,Encumbered Interaction: A Study of Musicians Preparing to Perform, Juan Pablo Martinez Avila, Chris Greenhalgh, Adrian Hazzard, Steve Benford, Alan Chamberlain (The University of Nottingham),,,,,,,,,
475,Mind the Tap: Assessing Foot-Taps for Interacting with Head-Mounted Displays, Florian Muller (TU Darmsatdt), Joshua McManus (Simon Fraser University), Sebastian Gunther, Martin Schmitz, Max Muhlhauser, Markus Funk (TU Darmstadt),,,,,,,,
476,Only one item left? Heuristic Information Trumps Calorie Count When Supporting Healthy Snacking Under Low Self-Control, Daniel Reinhardt, Jorn Hurtienne (Ulius-Maximilians-Universitat),,,,,,,,,,,,
477,Some Prior(s) Experience Necessary: Templates for Getting Started With Bayesian Analysis, Chanda Phelan (University of Michigan), Jessica Hullman (Northwestern University), Matthew Kay, Paul Resnick (University of Michigan),,,,,,,,,,
478,Parting the Red Sea: Sociotechnical Systems and Lived Experiences of Menopause, Amanda Lazar (University of Maryland College Park), Norman Makoto Su, Jeffrey Bardzell, Shaowen Bardzell (Indiana University),,,,,,,,,,
479,Turn to the Self in Human-Computer Interaction: Care of the Self in Negotiating the Human-Technology Relationship, Yubo Kou (Florida State University), Xinning Gui, Yunan Chen, Bonnie Nardi (University of California Irvine),,,,,,,,,,
480,Engaging High School Students in Cameroon with Exam Practice Quizzes via SMS and WhatsApp, Anthony Poon, Sarah Giroux, Parfait Eloundou-Enyegue, Francois Guimbretiere (Cornell University), Nicola Dell (Cornell Tech),,,,,,,,,
481,VARI-SOUND: A Varifocal Lens for Sound, Gianluca Memoli, Letizia Chisari, Jonathan P. Eccles (University of Sussex), Mihai Caleap, Bruce W. Drinkwater (University of Bristol), Sriram Subramanian (University of Sussex),,,,,,,,
482,Co-Performing Agent: Design for Building User-Agent Partnership in Learning and Adaptive Services, Da-jung Kim, Youn-kyung Lim (Korea Advanced Institute of Science and Technology),,,,,,,,,,,,
483,Leveraging Distal Vibrotactile Feedback for Target Acquisition, Jay Henderson, Jeff Avery (University of Waterloo), Laurent Grisoni (University of Lille), Edward Lank (INRIA & University of Waterloo),,,,,,,,,,
484,Designing for the Infrastructure of the Supply Chain of Malay Handwoven Songket in Terengganu, Min Zhang, Corina Sas, Zoe Lambert (Lancaster University), Masitah Ahmad (Universiti Teknologi MARA),,,,,,,,,,
485,Let Me Explain: Impact of Personal and Impersonal Explanations on Trust in Recommender Systems, Johannes Kunkel, Tim Donkers, Lisa Michael, Catalin-Mihai Barbu, Jurgen Ziegler (University of Duisburg-Essen),,,,,,,,,
486,Springlets: Expressive Flexible and Silent On-Skin Tactile Interfaces, Nur Al-huda Hamdan, Adrian Wagner, Simon Voelker (RWTH Aachen University), Jurgen Steimle (Saarland University), Jan Borchers (RWTH Aachen University),,,,,,,,,
487,Can you believe [1:21]?!: Content and Time-Based Reference Patterns in Video Comments, Matin Yarmand, Dongwook Yoon, Samuel Dodson, Ido Roll, Sidney S. Fels (University of British Columbia),,,,,,,,,
488,Do We Care About Diversity in Human Computer Interaction: A Comprehensive Content Analysis on Diversity Dimensions in Research, Julia Himmelsbach, Stephanie Schwarz, Cornelia Gerdenitsch, Beatrix Wais-Zechmann, Jan Bobeth (AIT Austrian Institute of Technology GmbH), Manfred Tscheligi (AIT Austrian Institute of Technology GmbH),,,,,,,,
489,Gaze-Guided Narratives: Adapting Audio Guide Content to Gaze in Virtual and Real Environments, Tiffany C.K. Kwok, Peter Kiefer, Victor R. Schinazi (ETH Zurich), Benjamin Adams (University of Canterbury), Martin Raubal (ETH Zurich),,,,,,,,,
490,StoryBlocks: A Tangible Programming Game To Create Accessible Audio Stories, Varsha Koushik, Darren Guinness, Shaun K. Kane (University of Colorado Boulder),,,,,,,,,,,
491,Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT, Sarah E. Fox (University of California San Diego), Kiley Sobel, Daniela K. Rosner (University of Washington),,,,,,,,,,,
492,User Attitudes towards Algorithmic Opacity and Transparency in Online Reviewing Platforms, Motahhare Eslami, Kristen Vaccaro (University of Illinois at Urbana-Champaign), Min Kyung Lee (Carnegie Mellon University), Amit Elazari Bar On (University of California Berkeley), Eric Gilbert (University of Michigan), Karrie Karahalios (University of Illinois at Urbana-Champaign),,,,,,,,
493,"Examining the ""Global"" Language of Emojis: Designing for Cultural Representation", Philippe Kimura-Thollander, Neha Kumar (Georgia Institute of Technology),,,,,,,,,,,,
494,Time to Scale: Generalizable Affect Detection for Tens of Thousands of Students across An Entire School Year, Stephen Hutt, Joseph F. Grafsgaard, Sidney K. D'Mello (University of Colorado Boulder),,,,,,,,,,,
495,Eye-Write: Gaze Sharing for Collaborative Writing, Grete Helena Kutt, Kevin Lee, Ethan Hardacre, Alexandra Papoutsaki (Pomona College),,,,,,,,,,
496,Heimdall: A Remotely Controlled Inspection Workbench For Debugging Microcontroller Projects, Mitchell Karchemsky (University of California Berkeley), J.D. Zamfirescu-Pereira (Cornell Tech), Kuan-Ju Wu (University of California Berkeley), Francois Guimbretiere (Cornell University), Bjoern Hartmann (University of California Berkeley),,,,,,,,,
497,HOPE for Computing Education: Towards the Infrastructuring of Support for University-School Partnerships, Megan Venn-Wycherley, Ahmed Kharrufa (Newcastle University),,,,,,,,,,,,
498,Unintended Consonances: Methods to Understand Robot Motor Sound Perception, Dylan Moore (Stanford University), Tobias Dahl (SINTEF), Paula Varela (Nofima), Wendy Ju (Cornell Tech), Tormod Næs, Ingunn Berget (Nofima),,,,,,,,
499,PinchList: Leveraging Pinch Gestures for Hierarchical List Navigation on Smartphones, Teng Han (University of Manitoba), Jie Liu (Institute of Software Chinese Academy of Sciences), Khalad Hasan (University of British Columbia), Mingming Fan (University of Toronto), Junhyeok Kim (University of Manitoba), Jiannan Li (University of Toronto), Xiangmin Fan, Feng Tian (Institute of Software Chinese Academy of Sciences), Edward Lank (University of Waterloo), Pourang Irani (University of Manitoba),,,,
500,Together in Bed? Couples' Mobile Technology Use in Bed, Tarja Salmela, Ashley Colley, Jonna Hakkila (University of Lapland),,,,,,,,,,,
501,23 Ways to Nudge: A Review of Technology-Mediated Nudging in Human-Computer Interaction, Ana Caraban (Instituto Superior Tecnico Persuasive Tech Lab Madeira-ITI), Evangelos Karapanos (Cyprus University of Technology), Daniel Goncalves (Instituto Superior Tecnico University of Lisbon), Pedro Campos (Madeira-ITI University of Madeira),,,,,,,,,,
502,ALAP: Accessible LaTeX Based Mathematical Document Authoring and Presentation, Ahtsham Manzoor, Safa Arooj, Shaban Zulfiqar, Murayyiam Parvez, Suleman Shahid, Asim Karim (Lahore University of Management Sciences),,,,,,,,
503,Embodied Imagination: An Approach to Stroke Recovery Combining Participatory Performance and Interactive Technology, Rosella P. Galindo Esparza, Patrick G. T. Healey, Lois Weaver (University of London), Matthew Delbridge (Melbourne University),,,,,,,,,,
504,"Behind the Curtain of the ""Ultimate Empathy Machine"": On the Composition of Virtual Reality Nonfiction Experiences", Chris Bevan (University of Bristol), David Philip Green (University of the West of England), Harry Farmer (University of Bath), Mandy Rose (University of the West of England), Kirsten Cater (University of Bristol), Danae Stanton Fraser, Helen Brown (University of Bath),,,,,,,
505,Online VR AR Lab and In-Situ: Comparison of Research Methods to Evaluate Smart Artifacts, Alexandra Voit, Sven Mayer, Valentin Schwind (University of Stuttgart), Niels Henze (University of Regensburg),,,,,,,,,,
506,Guideline-Based Evaluation of Web Readability, Aliaksei Miniukovich (University of Trento), Michele Scaltritti (Universita degli Studi di Trento), Simone Sulpizio (Vita-Salute San Raffaele University), Antonella De Angeli (Free University of Bolzano),,,,,,,,,,
507,Trolled by the Trolley Problem: On What Matters for Ethical Decision Making in Automated Vehicles, Alexander G. Mirnig, Alexander Meschtscherjakov (University of Salzburg),,,,,,,,,,,,
508,Exploring and Designing for Memory Impairments in Depression, Chengcheng Qu, Corina Sas (Lancaster University), Gavin Doherty (Trinity College Dublin),,,,,,,,,,,
509,Understanding Kinaesthetic Creativity in Dance, Stacy Hsueh (University Paris-Sud), Sarah Fdili Alaoui (University Paris-Sud), Wendy E. Mackay (Universite Paris-Saclay),,,,,,,,,,,
510,Evaluating Preference Collection Methods for Interactive Ranking Analytics, Caitlin Kuhlman, Diana Doherty, Malika Nurbekova, Goutham Deva, Zarni Phyo, Paul-Henry Schoenhagen, MaryAnn VanValkenburg, Elke Rundensteiner, Lane Harrison (Worcester Polytechnic Institute),,,,,
511,To Repeat or Not to Repeat? Redesigning Repeating Auditory Alarms Based on EEG Analysis, Yi-Chen Lee, Fu-Yin Cherng, Jung-Tai King, Wen-Chieh Lin (National Chiao Tung University),,,,,,,,,,
512,It Broadens My Mind: Empowering People with Cognitive Disabilities through Computing Education, Varsha Koushik, Shaun K. Kane (University of Colorado Boulder),,,,,,,,,,,,
513,Should I Agree? Delegating Consent Decisions Beyond the Individual, Bettina Nissen (University of Edinburgh), Victoria Neumann, Mateusz Mikusz (Lancaster University), Rory Gianni (University of Edinburgh), Sarah Clinch (University of Manchester), Chris Speed (University of Edinburgh), Nigel Davies (Lancaster University),,,,,,,
514,Design and Evaluation of a Social Media Writing Support Tool for People with Dyslexia, Shaomei Wu, Lindsay Reynolds, Xian Li, Francisco Guzman (Facebook),,,,,,,,,,
515,VIPBoard: Improving Screen-Reader Keyboard for Visually Impaired People with Character-Level Auto Correction, Weinan Shi, Chun Yu (Tsinghua University), Shuyi Fan, Feng Wang, Tong Wang (Tsinghua University), Xin Yi (Tsinghua University), Xiaojun Bi (Stony Brook University), Yuanchun Shi (Tsinghua University),,,,,,
516,Put Your Warning Where Your Link Is: Improving and Evaluating Email Phishing Warnings, Justin Petelka (University of Washington), Yixin Zou, Florian Schaub (University of Michigan),,,,,,,,,,,
517,Encoding Materials and Data for Iterative Personalization, Troy Nachtigall (Eindhoven University of Technology), Oscar Tomico (Eindhoven University of Technology), Ron Wakkary (Eindhoven University of Technology & Simon Fraser University), Pauline van Dongen (Eindhoven University of Technology),,,,,,,,,,
518,Automation Accuracy Is Good but High Controllability May Be Better, Quentin Roy, Futian Zhang, Daniel Vogel (University of Waterloo),,,,,,,,,,,
519,Gehna: Exploring the Design Space of Jewelry as an Input Modality, Jatin Arora, Kartik Mathur, Aryan Saini, Aman Parnami (Indraprastha Institute of Information Technology),,,,,,,,,,
520,I'm a Giant: Walking in Large Virtual Environments at High Speed Gains, Parastoo Abtahi (Stanford University), Mar Gonzalez-Franco, Eyal Ofek (Microsoft Research), Anthony Steed (University College London),,,,,,,,,,
521,Understanding the Impact of Information Representation on Willingness to Share Information, Stefan Schneegass (University of Duisburg-Essen), Romina Poguntke (University of Stuttgart), Tonja Machulla (LMU Munich),,,,,,,,,,,
522,The Impact of Web Browser Reader Views on Reading Speed and User Experience, Qisheng Li (University of Washington), Meredith Ringel Morris (Microsoft Research), Adam Fourney (Microsoft Research), Kevin Larson (Microsoft), Katharina Reinecke (University of Washington),,,,,,,,,
523,Does Being Verified Make You More Credible? Account Verification's Effect on Tweet Credibility, Tavish Vaidya (Georgetown University), Daniel Votipka, Michelle L. Mazurek (University of Maryland College Park), Micah Sherr (Georgetown University),,,,,,,,,,
524,Does Who Matter? Studying the Impact of Relationship Characteristics on Receptivity to Mobile IM Messages, Hao-Ping Lee, Kuan-Yin Chen, Chih-Heng Lin (National Chiao Tung University), Chia-Yu Chen (National Chengchi University), Yu-Lin Chung (National Tsing Hua University), Yung-Ju Chang (National Chiao Tung University), Chien-Ru Sun (National Chengchi University),,,,,,,
525,#HandsOffMyADA: A Twitter Response to the ADA Education and Reform Act, Brooke E. Auxier, Cody L. Buntain, Paul Jaeger, Jennifer Golbeck, Hernisa Kacorri (University of Maryland College Park),,,,,,,,,
526,Poirot: A Web Inspector for Designers, Kesler Tanner (Stanford University), Naomi Johnson (University of Virginia), James A. Landay (Stanford University),,,,,,,,,,,
527,Understanding and Designing for Deaf or Hard of Hearing Drivers on Uber, Sooyeon Lee (Pennsylvania State University), Bjorn Hubert-Wallander, Molly Stevens (Uber Technologies, Inc.), John M. Carroll (Pennsylvania State University),,,,,,,,,
528,Street-Level Algorithms: A Theory at the Gaps Between Policy and Decisions, Ali Alkhatib, Michael Bernstein (Stanford University),,,,,,,,,,,,
529,Cicero: Multi-Turn Contextual Argumentation for Accurate Crowdsourcing, Quanze Chen, Jonathan Bragg, Lydia B. Chilton, Dan S. Weld (University of Washington),,,,,,,,,,
530,Personalising the TV Experience using Augmented Reality: An Exploratory Study on Delivering Synchronised Sign Language Interpretation, Vinoba Vinayagamoorthy, Maxine Glancy (BBC R&D), Christoph Ziegler, Richard Schaffer (IRT),,,,,,,,,,
531,FTVR in VR: Evaluation of 3D Perception With a Simulated Volumetric Fish-Tank Virtual Reality Display, Dylan Fafard, Ian Stavness, Martin Dechant, Regan Mandryk (University of Saskatchewan), Qian Zhou, Sidney Fels (University of British Columbia),,,,,,,,
532,Exploring How Privacy and Security Factor into IoT Device Purchase Behavior, Pardis Emami-Naeini, Henry Dixon, Yuvraj Agarwal, Lorrie Faith Cranor (Carnegie Mellon University),,,,,,,,,,
