ID,Title,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
219,Detecting Personality Traits Using Eye-Tracking Data, Shlomo Berkovsky (Data61 - CSIRO & Macquarie University), Ronnie Taib (Data61 - CSIRO), Irena Koprinska, Eileen Wang, Yucheng Zeng (University of Sydney), Jingjie Li (University of Wisconsin - Madison), Sabina Kleitman (University of Sydney),,,,,,,
220,Patient Perspectives on Self-Management Technologies for Chronic Fatigue Syndrome, Tabby Davies, Simon L. Jones (University of Bath), Ryan M. Kelly (The University of Melbourne),,,,,,,,,,,
221,The Role of Gaming During Difficult Life Experiences, Ioanna Iacovides (University of York), Elisa D. Mekler (University of Basel),,,,,,,,,,,,
222,The Dissimilarity-Consensus Approach to Agreement Analysis in Gesture Elicitation Studies, Radu-Daniel Vatavu (University Ştefan cel Mare of Suceava),,,,,,,,,,,,,
223,A Framework for the Experience of Meaning in Human-Computer Interaction, Elisa D. Mekler (University of Basel), Kasper Hornbæk (University of Copenhagen),,,,,,,,,,,,
224,Sustainabot – Exploring the Use of Everyday Foodstuffs as Output and Input for and with Emergent Users, Simon Robinson, Jennifer Pearson, Mark D. Holton (Swansea University), Shashank Ahire (IIT Bombay), Matt Jones (Swansea University),,,,,,,,,
225,Everything's the Phone: Understanding the Phone's Supercharged Role in Parent-Teen Relationships, Katie Davis (University of Washington), Anja Dinhopl (Laboratory for Intelligent Systems in Tourism), Alexis Hiniker (University of Washington),,,,,,,,,,,
226,On the Shoulder of the Giant: A Multi-Scale Mixed Reality Collaboration with 360 Video Sharing and Tangible Interaction, Thammathip Piumsomboon (University of Canterbury & University of South Australia), Gun A. Lee, Andrew Irlitti (University of South Australia), Barrett Ens (Monash University), Bruce H. Thomas, Mark Billinghurst (University of South Australia),,,,,,,,
227,I feel it is my responsibility to stream: Streaming and Engaging with Intangible Cultural Heritage through Livestreaming, Zhicong Lu (University of Toronto), Michelle Annett (MishMashMakers), Mingming Fan, Daniel Wigdor (University of Toronto),,,,,,,,,,
228,AILA: Attentive Interactive Labeling Assistant for Document Classification through Attention-Based Deep Neural Networks, Minsuk Choi. Cheonbok Park, Soyoung Yang (Korea University), Yonggyu Kim (Ajou University), Jaegul Choo (Korea University), Sungsoo Ray Hong (University of Washington),,,,,,,,,
229,Multi-Modal Approaches for Post-Editing Machine Translation, Nico Herbig (German Research Center for Artificial Intelligence), Santanu Pal, Josef van Genabith (Saarland University), Antonio Kruger (German Research Center for Artificial Intelligence),,,,,,,,,,
230,Neighborhood Perception in Bar Charts, Mingqian Zhao (Hong Kong University of Science and Technology), Huamin Qu (Hong Kong University of Science and Technology), Michael Sedlmair (University of Stuttgart),,,,,,,,,,,
231,Talking about Chat at Work in the Global South: An Ethnographic Study of Chat Use in India and Kenya, Moira McGregor (Stockholm University), Nicola J. Bidwell (International University of Management), Vidya Sarangapani (Newcastle University), Jonathan Appavoo (Boston University), Jacki O'Neill (Microsoft Research),,,,,,,,,
232,What's Happening at that Hip?: Evaluating an On-body Projection based Augmented Reality System for Physiotherapy Classroom, Hasan Shahid Ferdous (University of Melbourne), Thuong Hoang (Deakin University), Zaher Joukhadar, Martin N. Reinoso, Frank Vetere, David Kelly, Louisa Remedios (University of Melbourne),,,,,,,
233,Optimising Encoding for Vibrotactile Skin Reading, Granit Luzhnica (Know Center), Eduardo Veas (Graz University of Technology & Know Center),,,,,,,,,,,,
234,Bring the Outside In: Providing Accessible Experiences Through VR for People with Dementia in Locked Psychiatric Hospitals, Luma Tabbaa, Chee Siang Ang (University of Kent), Vienna Rose (St. Andrew's Healthcare), Panote Siriaraya (Kyoto Sangyo University), Inga Stewart, Keith G. Jenkins (St Andrew's Healthcare), Maria Matsangidou (University of Kent),,,,,,,
235,Clairbuoyance: Improving Directional Perception for Swimmers, Francisco Kiss (University of Stuttgart), Paweł W. Woźniak (Utrecht University), Felix Scheerer (University of Stuttgart), Julia Dominiak, Andrzej Romanowski (Lodz University of Technology), Albrecht Schmidt (Ludwig Maximilian University of Munich),,,,,,,,
236,Unremarkable AI: Fitting Intelligent Decision Support into Critical Clinical Decision-Making Processes, Qian Yang, Aaron Steinfeld, John Zimmerman (Carnegie Mellon University),,,,,,,,,,,
237,AI-Mediated Communication: How the Perception that Profile Text was Written by AI Affects Trustworthiness, Maurice Jakesch (Cornell University), Megan French (Stanford University), Xiao Ma (Cornell University), Jeffrey T. Hancock (Stanford University), Mor Naaman (Cornell University),,,,,,,,,
238,Magnetact: Magnetic-sheet-based Haptic Interfaces for Touch Devices, Kentaro Yasu (Nippon Telegraph and Telephone Corporation),,,,,,,,,,,,,
239,Virtual Hubs: Understanding Relational Aspects and Remediating Incubation, Jandy Luik (University of York & Petra Christian University), Jenna Ng, Jonathan Hook (University of York),,,,,,,,,,,
240,Impulse Buying: Design Practices and Consumer Needs, Carol Moser, Sarita Y. Schoenebeck, Paul Resnick (University of Michigan),,,,,,,,,,,
241,Communication Breakdowns Between Families and Alexa, Erin Beneteau (University of Washington), Olivia K. Richards (Pennsylvania State University), Mingrui Zhang, Julie A. Kientz, Jason Yip, Alexis Hiniker (University of Washington),,,,,,,,
242,Data is Personal: Attitudes and Perceptions of Data Visualization in Rural Pennsylvania, Evan M. Peck, Sofia E. Ayuso, Omar El-Etr (Bucknell University),,,,,,,,,,,
243,HCI and Affective Health: Taking stock of a decade of studies and charting future research directions, Pedro Sanches, Axel Janson, Pavel Karpashevich (KTH Royal Institute of Technology in Stockholm), Camille Nadal, (Trinity College Dublin), Chengcheng Qu, Claudia Dauden Roquet, Muhammad Umair (Lancaster University), Charles Windlin (KTH Royal Institute of Technology in Stockholm), Gavin Doherty (Trinity College Dublin), Kristina Hook (Royal Institute of Technology KTH), Corina Sas (Lancaster University),,
244,An Evaluation of Touch Input at the Edge of a Table, Nikhita Joshi, Daniel Vogel (University of Waterloo),,,,,,,,,,,,
245,Examining and Enhancing the Illusory Touch Perception in Virtual Reality Using Non-Invasive Brain Stimulation, Filip Skola, Fotis Liarokapis (Faculty of Informatics, Masaryk University),,,,,,,,,,,
246,Pay Attention Please: Formal Language Improves Attention in Volunteer and Paid Online Experiments, Tal August, Katharina Reinecke (University of Washington),,,,,,,,,,,,
247,Enhancing Texture Perception in Virtual Reality Using 3D-Printed Hair Structures, Donald Degraen (Intel Visual Computing Institute), Andre Zenner, Antonio Kruger (German Research Center for Artificial Intelligence),,,,,,,,,,,
248,The Design of Social Drones: A Review of Studies on Autonomous Flyers in Inhabited Environments, Mehmet Aydin Baytas (Koc University & Qualisys AB), Damla cay (Koc University), Yuchong Zhang (Chalmers University of Technology), Mohammad Obaid (University of New South Wales), Asim Evren Yantac (Koc University), Morten Fjeld (Chalmers University of Technology),,,,,,,,
249,Recipes for Programmable Money, Chris Elsden, Tom Feltwell, Shaun Lawson, John Vines (Northumbria University),,,,,,,,,,
250,Crowdsourcing Interface Feature Design with Bayesian Optimization, John J. Dudley, Jason T. Jacques, Per Ola Kristensson (University of Cambridge),,,,,,,,,,,
