"","Var1","Freq"
"115"," Amy Bruckman",1
"116"," Amy Cook",1
"117"," Amy L. Murphy",1
"118"," Amy Liu",1
"119"," Amy Ogan",1
"120"," Amy Wilson",1
"121"," Amy X. Zhang",1
"122"," Amy Yo Sue Chen",1
"123"," An Jacobs",1
"124"," Ana-Maria Sala",1
"125"," Ana Caraban",1
"126"," Ana Elisa Mendez Mendez",1
"127"," Ana Tajadura-Jimenez",1
"128"," Anab Jain",1
"129"," Anandghan Waghmare",1
"130"," Anastasia Bezerianos",1
"131"," Anastasia Danilova",1
"132"," and Postcolonial Computing in Rural Bangladesh",1
"133"," Anders Drachen",1
"134"," Anders Sundnes Lovlie",1
"135"," Andre Zenner",2
"136"," Andrea Bianchi",1
"137"," Andrea Bunt",1
"138"," Andrea Forte",1
"139"," Andrea G. Parker",1
"140"," Andrea Hu",1
"141"," Andrea Kleinsmith",1
"142"," Andrea L. Hartzler",2
"143"," Andrea Revesz",1
"144"," Andreas Bischof",1
"145"," Andreas Bulling",2
"146"," Andreas Butz",1
"147"," Andreas Lang",1
"148"," Andreas Ley",1
"149"," Andreas Mathisen",1
"150"," Andreas Riener",1
"151"," Andreas Schmid",1
"152"," Andreas Schou",1
"153"," Andreas Sonderegger",1
"154"," Andreas Steinisch",1
"155"," Andreea Muresan",2
"156"," Andres F. Solano",1
"157"," Andres Lucero",4
"158"," Andres Monroy-Hernandez",1
"159"," Andrew B. L. Berry",1
"160"," Andrew B.L. Berry",1
"161"," Andrew D. Miller",2
"162"," Andrew D. Wilson",2
"163"," Andrew Davenport",1
"164"," Andrew Garbett",1
"165"," Andrew Head",2
"166"," Andrew Irlitti",1
"167"," Andrew J. Saltarelli",1
"168"," Andrew M. Webb",1
"169"," Andrew McPherson",1
"170"," Andrew Mittereder",1
"171"," Andrew Oplinger",1
"172"," Andrew Tobin",1
"173"," Andrew Trister",1
"174"," Andrew W. Vargo",1
"175"," Andrii Matviienko",1
"176"," Andruid Kerne",1
"177"," Andrzej Romanowski",1
"178"," Andy Boucher",1
"179"," Andy Cockburn",2
"180"," Andy Sheen",1
"181"," Aneesha Singh",2
"182"," Angela Carey Lin",1
"183"," Angela E. B. Stewart",1
"184"," Angela Lin",1
"185"," Angelika Strohmayer",2
"186"," Angeliki Tzouganatou",1
"187"," Anh Truong",1
"188"," Anind K. Dey",1
"189"," Anirudha Joshi",1
"190"," Anita Chen",1
"191"," Anja Dinhopl",1
"192"," Anja Mainz",1
"193"," Anjali Munasinghe",1
"194"," Anke V. Reinschluessel",1
"195"," Ann Blandford",3
"196"," Anna-Katharina Frison",1
"197"," Anna Brown",1
"198"," Anna L. Cox",3
"199"," Anna Lisa Martin-Niedecken",1
"200"," Anna Rudnicka",1
"201"," Anna Stahl (RISE",1
"202"," Anna Turner",1
"203"," Anne Hermes",1
"204"," Anne Marie Piper",2
"205"," Anne Roudaut",2
"206"," Anne Spaa",1
"207"," Anne Veinberg",1
"208"," Annu Sible Prabhakar",1
"209"," Anran Wang",1
"210"," Anthony Li",1
"211"," Anthony Poon",1
"212"," Anthony Steed",1
"213"," Anton Fedosov",1
"214"," Antonella De Angeli",2
"215"," Antonella Nonnis",1
"216"," Antonio Iannopollo",1
"217"," Antonio Kruger",5
"218"," Antonis Vafeas",1
"219"," Antti Oulasvirta",1
"220"," Anurag Sarkar",1
"221"," Anushay Furqan",1
"222"," Anya Kolesnichenko",1
"223"," Apu Kapadia",1
"224"," Argenis Ramirez Gomez",1
"225"," Ari H. Pollack",1
"226"," Ariel Shamir",1
"227"," Aristides Mairena",1
"228"," Arlind Reuter",1
"229"," Armaan Shah",1
"230"," Arnaud Prouzeau",1
"231"," Arne Berger",1
"232"," Arpita Bhattacharya",1
"233"," Arthur Silber",1
"234"," Arvi Gjoka",1
"235"," Arvind Satyanarayan",1
"236"," Aryan Saini",2
"237"," asa Cajander",1
"238"," asa Unander-Scharin",1
"239"," Ashley Colley",2
"240"," Ashley Garrity",1
"241"," Ashraf Abdul",1
"242"," Ashutosh Agrawal",1
"243"," Asim Evren Yantac",1
"244"," Asim Karim",1
"245"," Asimina Vasalou",1
"246"," Aske Mottelson",1
"247"," Asli Arslan Esme",1
"248"," Asma Shakil",1
"249"," Asra F. Rizvi",1
"250"," Atsushi Matsubayashi",1
"251"," Audrey Desjardins",1
"252"," Avinash Kumar Singh",1
"253"," Awais Athar",1
"254"," Axel Blahoua Seri",1
"255"," Axel Janson",1
"256"," Ayelet Ben-Sasson",1
"257"," Ayesha Asghar",1
"258"," Ayman Alzayat",1
"259"," Ayse Elvan Bayraktaroglu",1
"260"," Azin Semsar",1
"261"," Azra Ismail",1
"262"," Balasaravanan Thoravi Kumaravel",1
"263"," Baptiste Bourreau",1
"264"," Barış Serim",1
"265"," Barbara KopaCin",1
"266"," Barrett Ens",2
"267"," Bastian Pfleging",1
"268"," Beatrix Wais-Zechmann",1
"269"," Been Kim",1
"270"," Benjamin Adams",1
"271"," Benjamin Bach",2
"272"," Benjamin Bedwell",1
"273"," Benjamin Mako Hill",1
"274"," Benjamin R. Cowan",1
"275"," Benjamin Reinheimer",1
"276"," Benjamin Tag",1
"277"," Benjamin V. Hanrahan",1
"278"," Benoit Landry",1
"279"," Bernd Huber",1
"280"," Bernd Ploderer",2
"281"," Bernhard Jenny",1
"282"," Berry Eggen",2
"283"," Bertrand Schneider",1
"284"," Besmira Nushi",1
"285"," Besnik Fetahu",1
"286"," Beste F. Yuksel",1
"287"," Betsy DiSalvo",1
"288"," Bettina Nissen",1
"289"," Betty Sargeant",1
"290"," Bhakti Bhikne",1
"291"," Biao Xie",1
"292"," Bilal Saleem",1
"293"," Bill Howe",1
"294"," Bill Kapralos",1
"295"," Bing-Yu Chen",3
"296"," Bingkun Yang",1
"297"," Bjoern Hartmann",1
"298"," Bjorn Hartmann",2
"299"," Bjorn Hubert-Wallander",1
"300"," Blaine Lewis",1
"301"," Blase Ur",1
"302"," Bokyung Lee",2
"303"," Bongshin Lee",2
"304"," Bonnie Chinh",1
"305"," Bonnie E. John",1
"306"," Bonnie Nardi",1
"307"," Boriana N. Koleva",1
"308"," Brad A. Myers",1
"309"," Brad Myers",1
"310"," Bram Naus",1
"311"," Brenda Gillespie",1
"312"," Brendan Cassidy",1
"313"," Brendan Spillane",1
"314"," Brendan Walker",1
"315"," Brenna McNally",1
"316"," Brent Hecht",1
"317"," Brian D. Hall",1
"318"," Brian Slattery",1
"319"," Brian St. Thomas",1
"320"," Brian Y. Lim",1
"321"," Briane Paul V. Samson",1
"322"," Britta F. Schulte",1
"323"," Britta Schulte",1
"324"," Brooke E. Auxier",1
"325"," Bruce H. Thomas",2
"326"," Bruce W. Drinkwater",1
"327"," Bryan Dosono",1
"328"," Bryan Pardo",1
"329"," Bryan Russell",1
"330"," Bryan Semaan",1
"331"," Bryce Joe-Kun Tham",1
"332"," Byungjoo Lee",1
"333"," C. Ailie Fraser",1
"334"," cagatay Demiralp",1
"335"," Cagri Tanriover",1
"336"," Caitie Lustig",1
"337"," Caitlin Kelleher",1
"338"," Caitlin Kuhlman",1
"339"," Calvin Rubens",1
"340"," Cameron Steer",1
"341"," Camille Nadal",1
"342"," Caoimhe Hannigan",1
"343"," Cara Wilson",1
"344"," Carine Lallemand",1
"345"," Carl DiSalvo",1
"346"," Carl Gutwin",5
"347"," Carl Unander-Scharin",1
"348"," Carla F. Griggio",1
"349"," Carlos Alvarez",1
"350"," Carlos Dietrich",1
"351"," Carlos Guestrin",1
"352"," Carman Neustaedter",2
"353"," Carmel Majidi",2
"354"," Carmen Castaneda-Sceppa",1
"355"," Carmen Santoro",1
"356"," Carol Moser",1
"357"," Carolina Fuentes",1
"358"," Caroline Appert",1
"359"," Caroline Jay",1
"360"," Caroline Pitt",1
"361"," Carolyn Pang",1
"362"," Carrie J. Cai",1
"363"," Carys Dally",1
"364"," Casey Dugan",1
"365"," Casper Harteveld",1
"366"," Catalin-Mihai Barbu",1
"367"," Catherine D'Ignazio",1
"368"," Catherine Letondal",1
"369"," Catherine M. Baker",1
"370"," Catherine Y. Lim",2
"371"," Cayla Key",1
"372"," Cecilia R. Aragon",1
"373"," Cecily Morrison",1
"374"," Celine Coutrix",1
"375"," Celso Gomes",1
"376"," Cesar A. Collazos",1
"377"," Cesar Hidalgo",1
"378"," Cesare Parise",1
"379"," CesarHidalgo",1
"380"," Chaeyong Park",1
"381"," Chamod Weerasinghe",1
"382"," Chanda Phelan",1
"383"," Chandan Mahapatra",1
"384"," Chaoyu Chen",1
"385"," Charalampos Kyfonidis",1
"386"," Charles-Antoine Julien",1
"387"," Charles Windlin",2
"388"," Charlotte van Lotringen",1
"389"," Chat Wacharamanotham",1
"390"," Chee Siang Ang",1
"391"," Chelsea M. Myers",1
"392"," Chelsy Simran",1
"393"," Chen",1
"394"," Chen-Kuo Sun",1
"395"," Chen-Yu Hsu",1
"396"," Chen Liang",1
"397"," Cheng Ji",1
"398"," Chengcheng Qu",2
"399"," Chi-Jui Wu",1
"400"," Chi-Yang Hsu",1
"401"," Chi Wang",1
"402"," Chia-Fang Chung",1
"403"," Chia-Yu Chen",1
"404"," Chiara Leonardi",1
"405"," Chieko Asakawa",2
"406"," Chien-Ru Sun",1
"407"," Chien-Wen Yuan",1
"408"," Chih-Heng Lin",1
"409"," Chin-Teng Lin",1
"410"," Chin Guan Lim",1
"411"," Chris Bevan",1
"412"," Chris Bryan",1
"413"," Chris Elsden",4
"414"," Chris Greenhalgh",2
"415"," Chris Harrison",4
"416"," Chris L.E. Paffen",1
"417"," Chris Preist",1
"418"," Chris Speed",3
"419"," Christian Corsten",1
"420"," Christian Holz",5
"421"," Christian Remy",1
"422"," Christiane Grunloh",1
"423"," Christina N. Harrington",1
"424"," Christina Pakusch",1
"425"," Christina Trepkowski",1
"426"," Christine Geeng",1
"427"," Christine Hosey",1
"428"," Christine Murad",1
"429"," Christof Lutteroth",4
"430"," Christoph Hube",1
"431"," Christoph Ziegler",1
"432"," Christopher A. Brooks",1
"433"," Christopher A. Le Dantec",1
"434"," Christopher Collins",2
"435"," Christopher Frauenberger",1
"436"," Christopher Gates",1
"437"," Christopher Whitehead",1
"438"," Christos Ioannou",1
"439"," Chun Yu",6
"440"," Claire Lavenir",1
"441"," Claire Liang",1
"442"," Clara Crivellaro",2
"443"," Clare Cullen",1
"444"," Claude P. R. Heath",1
"445"," Claudia Dauden Roquet",1
"446"," Claudia Hilderbrand",1
"447"," Claudia Ziegler Acemyan",1
"448"," Claudio Pinhanez",1
"449"," Claudio T. Silva",1
"450"," Clemens N. Klokmose",1
"451"," Clemens Nylandsted Klokmose",1
"452"," Clemens Schart Muller (Technische Hochschule Ingolstadt &",1
"453"," Clement Robin",1
"454"," Cody L. Buntain",1
"455"," Colin Birge",1
"456"," Colin M. Gray",3
"457"," Colin Scott",1
"458"," Collin F. Lynch",1
"459"," Corina McDonald",1
"460"," Corina Sas",4
"461"," Cornelia Gerdenitsch",1
"462"," Cosmin Munteanu",1
"463"," Crystal Fletcher",1
"464"," Cuauhtli Campos",1
"465"," Cuong Nguyen",1
"466"," Cynthia Breazeal",1
"467"," Cynthia L. Bennett",1
"468"," Da-jung Kim",1
"469"," Da-Yuan Huang",2
"470"," Daisuke Sato",1
"471"," Daizo Ikeda",1
"472"," Dakuo Wang",2
"473"," Damien Ablart",1
"474"," Damla cay",1
"475"," Dan Cosley",1
"476"," Dan Jackson",1
"477"," Dan Jurafsky",1
"478"," Dan S. Wallach",1
"479"," Dan S. Weld",1
"480"," Dan Weld",1
"481"," Dana Kulic",1
"482"," Danae Stanton Fraser",1
"483"," Danding Wang",1
"484"," Daniel Archambault",1
"485"," Daniel Ashbrook",1
"486"," Daniel Auferbauer",1
"487"," Daniel Avrahami",1
"488"," Daniel Buschek",1
"489"," Daniel Foster Smith",1
"490"," Daniel Goncalves",1
"491"," Daniel Groeger",1
"492"," Daniel K.Y. Chen",1
"493"," Daniel Kats",1
"494"," Daniel Lambton-Howard",1
"495"," Daniel Mendes",1
"496"," Daniel Miller",1
"497"," Daniel Rechlitz",1
"498"," Daniel Reinhardt",2
"499"," Daniel Saakes",3
"500"," Daniel Schien",1
"501"," Daniel Smilkov",1
"502"," Daniel Trielli",1
"503"," Daniel Vogel",7
"504"," Daniel Votipka",1
"505"," Daniel Welsh",1
"506"," Daniel Wigdor",3
"507"," Daniel Zappala",1
"508"," Daniela K. Rosner",4
"509"," Danielle Albers Szafir",1
"510"," Danielle Lottridge",1
"511"," Danielle Wilde",1
"512"," Danny Leen",1
"513"," Dario Pittera",2
"514"," Darren Gergle",1
"515"," Darren Guinness",1
"516"," Dave Murray-Rust",2
"517"," David Dunn",1
"518"," David E. Breen",1
"519"," David Heidrich",1
"520"," David J. Albers",1
"521"," David J. Crandall",1
"522"," David Kelly",1
"523"," David Kirk",2
"524"," David Li",1
"525"," David Lindlbauer",2
"526"," David Luebke",1
"527"," David McGookin",2
"528"," David Nemer",1
"529"," David Philip Green",1
"530"," David Piorkowski",1
"531"," David R. Karger",1
"532"," David Randall",1
"533"," David S. Carrell",1
"534"," David T. Lee",1
"535"," Dean Brown",1
"536"," Debora de Castro Leal",1
"537"," Deepak Ranjan Sahoo",2
"538"," Deepak Sahoo",1
"539"," Deirdre K. Mulligan",1
"540"," Delvin Varghese",1
"541"," Denis Kalkofen",1
"542"," Denise Downey",1
"543"," Deniz Sonmez Unal",1
"544"," Dennis Rodrigo Da Cunha Silva",1
"545"," Denys J.C. Matthies",2
"546"," Denzil Ferreira",1
"547"," Devon Howard",1
"548"," Dhruv Jain",2
"549"," Di Chen",2
"550"," Diako Mardanbegi",1
"551"," Diana Doherty",1
"552"," Diandian Cao",1
"553"," Diego Garaialde",1
"554"," Diego Gomez-Zara",1
"555"," Diego Monteiro",1
"556"," Diego Munoz",1
"557"," Dieter Schmalstieg",1
"558"," Difeng Yu",1
"559"," Dimitrios Darzentas",1
"560"," Dimitris Samaras",1
"561"," Dina Katabi",1
"562"," Dinesh Chatoth",1
"563"," Dingtian Zhang",1
"564"," Dingzeyu Li",1
"565"," Diogo Marques",1
"566"," Dirk Wenig",1
"567"," Diyi Yang",2
"568"," Dmitry Alexandrovsky",1
"569"," Dmitry Dereshev",1
"570"," Dominic DiFranzo",1
"571"," Dominik Moritz",1
"572"," Dominik Webe",1
"573"," Don Samitha Elvitigala",1
"574"," Donald Degraen",1
"575"," Dong-Bach Vo",1
"576"," Donghee Yvette Wohn",1
"577"," Donghyun Kim",1
"578"," Dongwook Yoon",1
"579"," Dongyu Liu",1
"580"," Dorothea Reusser",1
"581"," Dorothy Howard",1
"582"," Dragan Ahmetovic",1
"583"," Drew Mylander Gregory",1
"584"," Duncan P. Brumby",1
"585"," Dustin Freeman",1
"586"," Dylan Fafard",1
"587"," Dylan Gaines",1
"588"," Dylan Moore",1
"589"," Eamonn O'Neill",1
"590"," Eda Okur",1
"591"," Eden Saig",1
"592"," Edgar Onofre",1
"593"," Edith Law",1
"594"," Eduard Arzt",1
"595"," Eduardo Veas",1
"596"," Eduardo Velloso",2
"597"," Edward Brown",1
"598"," Edward Cutrell",1
"599"," Edward Lank",3
"600"," Eelke Folmer",1
"601"," Eiji Onchi",1
"602"," Eileen Wang",1
"603"," Eivind Flobak",1
"604"," Elad Alon",1
"605"," Eleanor O'Rourke",1
"606"," Eleanor R. Burgess",1
"607"," Elena Goetz Davis",1
"608"," Elena Marquez Segura",2
"609"," Elena Simperl",1
"610"," Elgin-Skye McLaren",1
"611"," Elham Vaziripour",1
"612"," Eli Ben-Sasson",1
"613"," Elia Gatti",2
"614"," Elie Bursztein",1
"615"," Elijah Mayfield",1
"616"," Elisa D. Mekler",4
"617"," Elisa Ogawa",1
"618"," Elisabeth Sulmont",1
"619"," Elisabetta Farella",1
"620"," Elisheva Rotman Argaman",1
"621"," Elizabeth Churchill",1
"622"," Elizabeth D. Mynatt",1
"623"," Elizabeth I. Murnane",1
"624"," Elizabeth L. Murnane",1
"625"," Elizabeth Murnane",1
"626"," Elizaveta Karmannaya",1
"627"," Elke Rundensteiner",1
"628"," Ella Dagan",1
"629"," Elliot G. Mitchell",1
"630"," Eman Hassan",1
"631"," Emanuel von Zezschwitz",1
"632"," Emanuel Zgraggen",1
"633"," Emanuela Maggioni",1
"634"," Emer Gilmartin",1
"635"," Emilee Rader",1
"636"," Emilia Kacprzak",1
"637"," Emily Putnam-Hornstein",1
"638"," Emily Reif",1
"639"," Emily S. Hamedian",1
"640"," Emily Shaw",1
"641"," Emma Brunskill",1
"642"," Emma Frid",1
"643"," Emma Murphy",1
"644"," Emma S. Spiro",1
"645"," Emmanuel Pietriga",1
"646"," Emrecan Gulay",1
"647"," Enrico Costanza",3
"648"," Enrico Rukzio",1
"649"," Enzo Lucas",1
"650"," Eric B. Hekler",1
"651"," Eric Corbett",1
"652"," Eric Gilbert",1
"653"," Eric Horvitz",1
"654"," Eric Markvicka",1
"655"," Erik Andersen",2
"656"," Erik Stolterman",1
"657"," Erika Miller",1
"658"," Erin Beneteau",2
"659"," Erin Walker",1
"660"," Ernst Kruijff",1
"661"," Espen Knoop",1
"662"," Ethan Hardacre",1
"663"," Ethan Zuckerman",1
"664"," Eugene Cho",1
"665"," Eun Kyoung Choe",2
"666"," Eunyee Koh",1
"667"," Eva Eriksson",1
"668"," Eva Gerlitz",1
"669"," Eva Hornecker",1
"670"," Evan M. Peck",1
"671"," Evan Strasnick",1
"672"," Evangelos Karapanos",1
"673"," Evelyne Lutton",1
"674"," Evi Bernitsas",1
"675"," Eyal Ofek",4
"676"," Eyal Peer",1
"677"," Eytan Adar",2
"678"," F. Maxwell Harper",1
"679"," Fabio Paternò",1
"680"," Fabio Zambetta",1
"681"," Fabrice Matulic",1
"682"," Fabrice Tanoh",1
"683"," Fan Du",1
"684"," Fanglin Chen",1
"685"," Fannie Liu",1
"686"," Fanny Chevalier",3
"687"," Farimah Fazlollahi",1
"688"," Fatema Akbar",1
"689"," Fei Su",1
"690"," Felix Dietz",1
"691"," Felix Putze",1
"692"," Felix Scheerer",1
"693"," Feng Han",1
"694"," Feng Tian",4
"695"," Feng Wang",1
"696"," Fereshteh Shahmiri",1
"697"," Fernanda Viegas",1
"698"," Fernando Rochaix",1
"699"," Ferran Altarriba Bertran",2
"700"," Filip Skola",1
"701"," Fiona O'Connell",1
"702"," Flavio Figueiredo",1
"703"," Florian Alt",2
"704"," Florian Bockes",1
"705"," Florian Floyd Mueller",3
"706"," Florian Geiselhart",1
"707"," Florian Guldenpfennig",1
"708"," Florian Muller",3
"709"," Florian Schaub",3
"710"," Florine Simon",1
"711"," Flynn Wolf",1
"712"," Forrest Huang",1
"713"," Fotis Liarokapis (Faculty of Informatics",1
"714"," Francesca De Simone",1
"715"," Francisco Guzman",1
"716"," Francisco Kiss",1
"717"," Francisco Zampieri",1
"718"," Francois Guimbretiere",2
"719"," Frank Bentley",2
"720"," Frank Pollick",1
"721"," Frank Vetere",3
"722"," Franziska Roesner",1
"723"," Fraser Allison",1
"724"," Fraser Anderson",2
"725"," Fred Hohman",2
"726"," Frederico da Rocha Tome Filho",1
"727"," Frederik Brudy",1
"728"," Frode Guribye",1
"729"," Fu-Yin Cherng",2
"730"," Fulvio Corno",1
"731"," Futian Zhang",1
"732"," Gabriela Aceves Sepúlveda",1
"733"," Gabriela Marcu",1
"734"," Gabriella Hann",1
"735"," Gahgene Gweon",1
"736"," Galen Newman",1
"737"," Galina Madjaroff",1
"738"," Garrett Hedman",1
"739"," Gary Hsieh",2
"740"," Gautham J. Mysore",1
"741"," Gautham Mysore",1
"742"," Gavin Doherty",3
"743"," Gavin Wood",2
"744"," Ge Gao",1
"745"," Ge Wang",1
"746"," Geehyuk Lee",2
"747"," Geoff Kaufman",2
"748"," Geoffroy Canlorbe",1
"749"," George Chernyshov",1
"750"," George Cui",1
"751"," George Fitzmaurice",2
"752"," George Ghinea",1
"753"," George Nitzburg",1
"754"," Gerald Weber",2
"755"," Geraldine Fitzpatrick",2
"756"," Geri Gay",1
"757"," Gery Casiez",1
"758"," Geza Kovacs",1
"759"," Gianluca Memoli",1
"760"," Gianluca Schiavo",1
"761"," Gianluca Trombetta",1
"762"," Gierad Laput",4
"763"," Gilles Bailly",1
"764"," Gillian Smith",1
"765"," Giorgio Roffo",1
"766"," Giulio Jacucci",1
"767"," Glaudiney Moreira Mendonca Junior",1
"768"," Gloria Mark",1
"769"," Glyn Lawson",1
"770"," Golrokh Emami",1
"771"," Gonul Bozoglu",1
"772"," Goutham Deva",1
"773"," Gozel Shakeri",1
"774"," Graham Dove",1
"775"," Granit Luzhnica",1
"776"," Greg Niemeyer",1
"777"," Greg S. Corrado",1
"778"," Greg Wolff",1
"779"," Gregory D. Abowd",1
"780"," Grete Helena Kutt",1
"781"," Guan Wang",1
"782"," Guang-He Lee",1
"783"," Guanhong Liu",1
"784"," Guanpeng Xu",1
"785"," Guanyun Wang",3
"786"," Guillaume Crouzet",1
"787"," Guillaume Levieux",1
"788"," Guillaume Morel",1
"789"," Gun A. Lee",2
"790"," Gun Lee",1
"791"," Gunhyuk Park",1
"792"," Gunnar Stevens",1
"793"," Gunter Wallner",1
"794"," Guo Freeman",1
"795"," Guoliang Li",1
"796"," Gustave Ekobe",1
"797"," Guy Schofield",1
"798"," Gyeore Yun",1
"799"," H. Reza Zahiri",1
"800"," Ha-Kyung Kong",2
"801"," Hadas Erel",2
"802"," Hae Won Park",1
"803"," Hai-Ning Liang",1
"804"," Haijun Xia",2
"805"," Haikun Huang",3
"806"," Haiyi Zhu",1
"807"," Hal Daume",1
"808"," Hala Assal",1
"809"," Haley MacLeod",1
"810"," Hana Habib",1
"811"," Hana Vrzakova",1
"812"," Hanna Schneider",1
"813"," Hanna Wallach",2
"814"," Hannah Fowler",1
"815"," Hannah McGowan",1
"816"," Hannah Thinyane",1
"817"," Hanne G. Wagner",1
"818"," Hanneke Kip",1
"819"," Hans Gellersen",2
"820"," Hans Lindetorp",1
"821"," Hanspeter Pfister",2
"822"," Hanuma Teja Maddali",1
"823"," Hanwen Chang",1
"824"," Hao-Fei Cheng",1
"825"," Hao-Ping Lee",1
"826"," Hariharan Subramonyam",1
"827"," Harm van Essen",1
"828"," Harry Farmer",1
"829"," Harsh Taneja",1
"830"," Haruki Takahashi",1
"831"," Hasan Mahmud Prottoy",1
"832"," Hasan Shahid Ferdous",2
"833"," Hasti Seifi",1
"834"," Hayley Reid",1
"835"," Haylla Do Carmo",1
"836"," Hayun Kim",1
"837"," Hedvig Kjellstrom",1
"838"," Heinrich Hussmann",1
"839"," Heleen Rutjes",1
"840"," Helen Brown",1
"841"," Helen Minnis",1
"842"," Helen Wauck",1
"843"," Helena M. Mentis",2
"844"," Heloisa Candello",1
"845"," Hemant Bhaskar Surale",2
"846"," Henning Pohl",2
"847"," Henry Dixon",1
"848"," Herman Saksono",1
"849"," Hernisa Kacorri",2
"850"," Hidekazu Shidara",1
"851"," Hijung Valentina Shin",1
"852"," Hikaru Takatori",1
"853"," Hilda Tellioglu",1
"854"," Hiromu Yakura",1
"855"," Hiroyuki Manabe",1
"856"," Hiroyuki Shinoda",1
"857"," Holger Schnadelbach",1
"858"," Holly Fiedler",1
"859"," Holly Lawson",1
"860"," Hongan Wang",2
"861"," Hongbo Fu",1
"862"," Hongyuan Zha",1
"863"," Hrvoje Benko",1
"864"," Hsiang-Ting Chen",1
"865"," Hsin-Ruey Tsai",1
"866"," Hsueh-Cheng Wang",1
"867"," Huamin Qu",3
"868"," Huan Wei",1
"869"," Huawei Tu",1
"870"," Hugo Romat",1
"871"," Hui-Shyong Yeo",1
"872"," Huib de Ridder",1
"873"," Humphrey Yang",1
"874"," Huy Viet Le",1
"875"," Hyein Lee",1
"876"," Hyejin Im",1
"877"," Hyunsoo Lee",1
"878"," I. Scott MacKenzie",1
"879"," Iain Carson",1
"880"," Ian Stavness",2
"881"," Idan David",1
"882"," Iddo Wald",1
"883"," Ido Roll",1
"884"," Ignacio Avellino",1
"885"," Ihudiya Finda Ogbonnaya-Ogburu",1
"886"," Il-Youp Kwak",1
"887"," Ildar Muslukhov",1
"888"," Ilja Frissen",1
"889"," Iljoo Kim",1
